dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000011,24.218750,0.000029,0.005844,0.584444,58.444444,6.283176
0.010000,0.000005,24.218750,0.000035,0.000586,-0.525802,-111.024604,6.283181
0.010000,0.000160,24.218750,0.000190,0.015527,1.494014,201.981585,0.000007
0.010000,0.000604,24.218750,0.000634,0.044410,2.888341,139.432664,0.000028
0.010000,0.001298,24.218750,0.001328,0.069391,2.498085,-39.025638,0.000060
0.010000,0.002297,24.218750,0.002328,0.099923,3.053246,55.516134,0.000106
0.010000,0.003657,24.218750,0.003688,0.136008,3.608435,55.518923,0.000169
0.010000,0.005434,24.218751,0.005464,0.177644,4.163663,55.522761,0.000250
0.010000,0.007682,24.218751,0.007712,0.224834,4.718941,55.527852,0.000354
0.010000,0.010458,24.218753,0.010488,0.277577,5.274286,55.534441,0.000482
0.010000,0.013817,24.218754,0.013847,0.335874,5.829712,55.542658,0.000636
0.010000,0.017814,24.218757,0.017844,0.399726,6.385239,55.552643,0.000820
0.010000,0.022505,24.218762,0.022536,0.469135,6.940886,55.564726,0.001036
0.010000,0.027946,24.218768,0.027977,0.544102,7.496675,55.578865,0.001286
0.010000,0.034192,24.218777,0.034223,0.624628,8.052630,55.595516,0.001573
0.010000,0.041300,24.218789,0.041330,0.710716,8.608776,55.614643,0.001899
0.010000,0.049323,24.218806,0.049354,0.802367,9.165142,55.636579,0.002267
0.010000,0.058319,24.218828,0.058350,0.899585,9.721756,55.661450,0.002679
0.010000,0.068343,24.218857,0.068373,1.002371,10.278651,55.689482,0.003138
0.010000,0.079450,24.218895,0.079481,1.110730,10.835860,55.720872,0.003645
0.010000,0.091697,24.218943,0.091727,1.224664,11.393418,55.755757,0.004204
0.010000,0.105138,24.219004,0.105169,1.344178,11.951363,55.794522,0.004817
0.010000,0.119831,24.219079,0.119862,1.469275,12.509734,55.837149,0.005485
0.010000,0.135830,24.219173,0.135861,1.599961,13.068574,55.884013,0.006211
0.010000,0.153192,24.219288,0.153224,1.736240,13.627927,55.935276,0.006998
0.010000,0.171973,24.219427,0.172005,1.878118,14.187839,55.991175,0.007847
0.010000,0.192228,24.219595,0.192261,2.025602,14.748358,56.051895,0.008761
0.010000,0.213986,24.219797,0.214020,2.175918,15.031622,28.326420,0.009740
0.010000,0.237248,24.220035,0.237283,2.326293,15.037492,0.586994,0.010784
0.010000,0.262014,24.220316,0.262050,2.476731,15.043783,0.629060,0.011892
0.010000,0.288284,24.220644,0.288323,2.627236,15.050497,0.671475,0.013064
0.010000,0.316060,24.221024,0.316101,2.777812,15.057639,0.714127,0.014299
0.010000,0.345341,24.221462,0.345385,2.928464,15.065210,0.757152,0.015596
0.010000,0.376129,24.221963,0.376177,3.079196,15.073214,0.800415,0.016955
0.010000,0.408424,24.222533,0.408478,3.230013,15.081654,0.844010,0.018375
0.010000,0.442227,24.223180,0.442287,3.380918,15.090534,0.887929,0.019854
0.010000,0.477539,24.223908,0.477606,3.531917,15.099855,0.932152,0.021394
0.010000,0.514360,24.224725,0.514436,3.683013,15.109622,0.976637,0.022992
0.010000,0.552691,24.225639,0.552778,3.834212,15.119836,1.021469,0.024647
0.010000,0.592533,24.226655,0.592633,3.985517,15.130502,1.066537,0.026359
0.010000,0.633887,24.227782,0.634003,4.136933,15.141621,1.111904,0.028127
0.010000,0.676754,24.229027,0.676887,4.288465,15.153196,1.157542,0.029950
0.010000,0.721134,24.230398,0.721288,4.440117,15.165230,1.203379,0.031826
0.010000,0.767028,24.231904,0.767207,4.591894,15.177725,1.249466,0.033755
0.010000,0.814437,24.233552,0.814645,4.743801,15.190682,1.295770,0.035735
0.010000,0.863363,24.235351,0.863604,4.895842,15.204104,1.342213,0.037765
0.010000,0.913805,24.237309,0.914084,5.048022,15.217993,1.388846,0.039845
0.010000,0.965765,24.239436,0.966088,5.200346,15.232349,1.435590,0.041972
0.010000,1.019243,24.241740,1.019616,5.352817,15.247173,1.482426,0.044146
0.010000,1.074241,24.244231,1.074670,5.505442,15.262466,1.529342,0.046365
0.010000,1.130732,24.246916,1.131224,5.655430,14.998762,-26.370436,0.048627
0.010000,1.188660,24.249802,1.189224,5.799985,14.455558,-54.320375,0.050927
0.010000,1.247970,24.252895,1.248615,5.939105,13.911983,-54.357512,0.053264
0.010000,1.308608,24.256200,1.309343,6.072785,13.367983,-54.399987,0.055632
0.010000,1.370518,24.259722,1.371353,6.201020,12.823507,-54.447656,0.058028
0.010000,1.433645,24.263466,1.434591,6.323805,12.278503,-54.500355,0.060450
0.010000,1.497934,24.267436,1.499003,6.441134,11.732924,-54.557939,0.062894
0.010000,1.563330,24.271635,1.564533,6.553001,11.186722,-54.620212,0.065355
0.010000,1.629776,24.276067,1.631127,6.659400,10.639852,-54.687010,0.067832
0.010000,1.697218,24.280733,1.698730,6.760323,10.092270,-54.758141,0.070321
0.010000,1.765600,24.285636,1.767288,6.855762,9.543936,-54.833389,0.072818
0.010000,1.834867,24.290776,1.836745,6.945710,8.994811,-54.912568,0.075321
0.010000,1.904962,24.296154,1.907046,7.030159,8.444856,-54.995464,0.077826
0.010000,1.975831,24.301770,1.978137,7.109099,7.894038,-55.081825,0.080332
0.010000,2.047417,24.307623,2.049962,7.182522,7.342323,-55.171475,0.082833
0.010000,2.119666,24.313713,2.122467,7.250419,6.789682,-55.264135,0.085329
0.010000,2.192519,24.320036,2.195594,7.312780,6.236086,-55.359578,0.087817
0.010000,2.265923,24.326590,2.269290,7.369595,5.681510,-55.457590,0.090293
0.010000,2.339821,24.333373,2.343499,7.420854,5.125931,-55.557879,0.092755
0.010000,2.414157,24.340380,2.418164,7.466548,4.569329,-55.660246,0.095201
0.010000,2.488875,24.347606,2.493231,7.506664,4.011685,-55.764404,0.097628
0.010000,2.563919,24.355047,2.568643,7.541194,3.452984,-55.870102,0.100034
0.010000,2.639233,24.362697,2.644344,7.570126,2.893212,-55.977130,0.102418
0.010000,2.714760,24.370550,2.720279,7.593450,2.332360,-56.085184,0.104777
0.010000,2.790445,24.378599,2.796390,7.611154,1.770420,-56.194073,0.107108
0.010000,2.866231,24.386836,2.872623,7.623228,1.207385,-56.303443,0.109411
0.010000,2.942062,24.395253,2.948919,7.629661,0.643253,-56.413221,0.111683
0.010000,3.017909,24.403846,3.025252,7.633269,0.360804,-28.244944,0.113923
0.010000,3.093773,24.412611,3.101621,7.636876,0.360706,-0.009779,0.116132
0.010000,3.169654,24.421547,3.178025,7.640481,0.360581,-0.012466,0.118310
0.010000,3.245551,24.430651,3.254466,7.644086,0.360431,-0.014985,0.120456
