dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000011,21.927083,0.000029,0.005844,0.584444,58.444444,6.283176
0.010000,-0.000005,21.927083,0.000035,0.000586,-0.525802,-111.024604,6.283181
0.010000,0.000177,21.927083,0.000217,0.018165,1.757902,228.370331,0.000007
0.010000,0.000668,21.927083,0.000708,0.049101,3.093569,133.566686,0.000028
0.010000,0.001435,21.927083,0.001475,0.076720,2.761915,-33.165314,0.000060
0.010000,0.002540,21.927083,0.002580,0.110477,3.375643,61.372738,0.000106
0.010000,0.004044,21.927084,0.004083,0.150370,3.989343,61.370003,0.000169
0.010000,0.006008,21.927084,0.006047,0.196400,4.603004,61.366141,0.000250
0.010000,0.008493,21.927085,0.008533,0.248566,5.216614,61.360992,0.000354
0.010000,0.011562,21.927086,0.011602,0.306868,5.830159,61.354447,0.000482
0.010000,0.015275,21.927088,0.015315,0.371304,6.443621,61.346259,0.000636
0.010000,0.019694,21.927091,0.019734,0.441874,7.056983,61.336198,0.000820
0.010000,0.024879,21.927096,0.024919,0.518576,7.670226,61.324239,0.001036
0.010000,0.030894,21.927103,0.030933,0.601409,8.283325,61.309942,0.001286
0.010000,0.037797,21.927113,0.037837,0.690372,8.896259,61.293414,0.001573
0.010000,0.045652,21.927127,0.045692,0.785462,9.509001,61.274215,0.001899
0.010000,0.054519,21.927145,0.054559,0.886677,10.121524,61.252309,0.002267
0.010000,0.064459,21.927170,0.064499,0.994015,10.733799,61.227427,0.002679
0.010000,0.075533,21.927202,0.075573,1.107473,11.345793,61.199402,0.003138
0.010000,0.087804,21.927244,0.087844,1.227048,11.957473,61.168031,0.003645
0.010000,0.101331,21.927297,0.101371,1.352736,12.568803,61.133037,0.004204
0.010000,0.116176,21.927364,0.116217,1.484533,13.179747,61.094411,0.004817
0.010000,0.132400,21.927447,0.132441,1.622436,13.790264,61.051691,0.005485
0.010000,0.150065,21.927551,0.150105,1.766439,14.400313,61.004840,0.006211
0.010000,0.169229,21.927677,0.169271,1.916538,15.009849,60.953576,0.006998
0.010000,0.189956,21.927831,0.189998,2.072726,15.618826,60.897695,0.007847
0.010000,0.212305,21.928017,0.212348,2.234998,16.227195,60.836924,0.008761
0.010000,0.236307,21.928239,0.236351,2.400282,16.528374,30.117957,0.009740
0.010000,0.261961,21.928502,0.262006,2.565507,16.522504,-0.587008,0.010784
0.010000,0.289266,21.928811,0.289313,2.730669,16.516213,-0.629142,0.011892
0.010000,0.318221,21.929173,0.318270,2.895764,16.509498,-0.671499,0.013064
0.010000,0.348826,21.929592,0.348878,3.060787,16.502356,-0.714217,0.014299
0.010000,0.381080,21.930074,0.381135,3.225735,16.494784,-0.757161,0.015596
0.010000,0.414982,21.930626,0.415041,3.390603,16.486779,-0.800485,0.016955
0.010000,0.450530,21.931254,0.450595,3.555386,16.478338,-0.844091,0.018375
0.010000,0.487724,21.931965,0.487796,3.720081,16.469458,-0.887985,0.019854
0.010000,0.526562,21.932766,0.526643,3.884682,16.460137,-0.932186,0.021394
0.010000,0.567044,21.933664,0.567135,4.049186,16.450369,-0.976729,0.022992
0.010000,0.609168,21.934668,0.609271,4.213588,16.440154,-1.021505,0.024647
0.010000,0.652933,21.935784,0.653049,4.377882,16.429488,-1.066617,0.026359
0.010000,0.698337,21.937022,0.698470,4.542066,16.418368,-1.111972,0.028127
0.010000,0.745378,21.938388,0.745531,4.706134,16.406793,-1.157570,0.029950
0.010000,0.794056,21.939892,0.794232,4.870082,16.394758,-1.203457,0.031826
0.010000,0.844368,21.941542,0.844571,5.033904,16.382263,-1.249537,0.033755
0.010000,0.896312,21.943348,0.896547,5.197597,16.369305,-1.295801,0.035735
0.010000,0.949888,21.945318,0.950159,5.361156,16.355882,-1.342290,0.037765
